atomic_number, symbol    , name          , atomic_radius, metallic_radius, csd_covalent_radius, vasppot_paw, vasppot_gw , elmt_color        , valence_elec         , num_valence_elec
1            , H         , Hydrogen      , 25           , None           , 31                 , None       , GW         , gray              , 1s1                  , 1  
2            , He        , Helium        , 31           , None           , 28                 , None       , GW         , gray              , 1s2                  , 2  
3            , Li        , Lithium       , 145          , 152            , 128                , sv         , sv_GW      , gray              , 1s1-2s2-2p0          , 3  
4            , Be        , Beryllium     , 105          , 112            , 96                 , None       , sv_GW      , gray              , 2s2-2p0              , 2  
5            , B         , Boron         , 85           , None           , 84                 , None       , GW         , gray              , 2s2-2p1              , 3  
6            , C         , Carbon        , 70           , 197            , 76                 , None       , GW         , gray              , 2s2-2p2              , 4  
7            , N         , Nitrogen      , 65           , None           , 71                 , None       , GW         , gray              , 2s2-2p3              , 5  
8            , O         , Oxygen        , 60           , None           , 66                 , None       , GW         , gray              , 2s2-2p4              , 6  
9            , F         , Fluorine      , 50           , None           , 57                 , None       , GW         , gray              , 2s2-2p5              , 7  
10           , Ne        , Neon          , 51           , None           , 58                 , None       , GW         , gray              , 2s2-2p6              , 8  
11           , Na        , Sodium        , 180          , 186            , 66                 , pv         , sv_GW      , gray              , 2p6-3s1              , 7  
12           , Mg        , Magnesium     , 150          , 160            , 141                , None       , sv_GW      , gray              , 3s2-3p0              , 2  
13           , Al        , Aluminum      , 125          , 143            , 121                , None       , GW         , black             , 3s2-3p1              , 3  
14           , Si        , Silicon       , 110          , None           , 111                , None       , GW         , gray              , 3s2-3p2              , 4  
15           , P         , Phosphorus    , 100          , None           , 107                , None       , GW         , gray              , 3s2-3p3              , 5  
16           , S         , Sulfur        , 100          , None           , 105                , None       , GW         , gray              , 3s2-3p4              , 6  
17           , Cl        , Chlorine      , 100          , None           , 102                , None       , GW         , gray              , 3s2-3p5              , 7  
18           , Ar        , Argon         , 71           , None           , 106                , None       , GW         , gray              , 3s2-3p6              , 8  
19           , K         , Potassium     , 220          , 227            , 203                , sv         , sv_GW      , gray              , 3s2-3p6-4s1          , 9  
20           , Ca        , Calcium       , 180          , 197            , 176                , sv         , sv_GW      , gray              , 3s2-3p6-4s2          , 10 
21           , Sc        , Scandium      , 160          , 162            , 170                , sv         , sv_GW      , lemonchiffon      , 3s2-3p6-3d1-4s2      , 11 
22           , Ti        , Titanium      , 140          , 147            , 160                , sv         , sv_GW      , rosybrown         , 3s2-3p6-4s2-3d2      , 12 
23           , V         , Vanadium      , 135          , 134            , 153                , None       , sv_GW      , wheat             , 3p6-4d3-4s2          , 11 
24           , Cr        , Chromium      , 140          , 128            , 139                , pv         , sv_GW      , lightgreen        , 3p6-3d5-4s1          , 12 
25           , Mn        , Manganese     , 140          , 127            , 139                , pv         , sv_GW      , chocolate         , 3p6-4s2-3d5          , 13 
